Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C]
306,82.0,30,1102.0,33.0,31.0,5.41,23.10,4.0
307,82.0,22,1124.0,33.0,31.0,5.17,22.70,4.0
308,83.0,20,1124.0,33.0,32.0,3.76,19.60,4.0
309,83.0,23,1070.0,31.0,32.0,3.42,19.20,4.0
310,83.0,24,1035.0,29.0,32.0,3.89,19.60,4.0
311,83.0,29,983.0,29.0,32.0,4.72,21.60,4.0
312,83.0,28,985.0,,32.0,4.77,21.60,4.0
313,83.0,36,972.0,29.0,32.0,4.76,22.00,4.0
314,83.0,34,972.0,29.0,32.0,5.64,23.10,4.0
315,83.0,23,969.0,27.0,32.0,1.98,17.30,4.0
316,83.0,21,899.0,22.0,33.0,3.42,19.20,4.0
317,83.0,21,901.0,13.0,33.0,3.72,18.80,4.0
318,83.0,20,1003.0,13.0,33.0,2.88,18.80,4.0
319,83.0,38,819.0,3.0,33.0,5.11,21.60,4.0
320,82.0,24,851.0,12.0,32.0,9.83,28.60,4.0
321,82.0,21,1320.0,22.0,32.0,9.61,28.20,4.0
322,82.0,39,1154.0,25.0,31.0,5.58,24.70,4.0
323,82.0,46,1287.0,,31.0,10.26,29.00,4.0
324,82.0,45,1396.0,28.0,31.0,10.87,29.40,4.0
325,82.0,46,1439.0,29.0,30.0,11.29,29.40,4.0
326,83.0,46,1065.0,30.0,31.0,8.41,27.10,4.0
327,83.0,47,1014.0,29.0,31.0,7.87,26.70,4.0
328,84.0,41,982.0,26.0,31.0,8.83,27.50,4.0
329,84.0,52,1308.0,26.0,31.0,10.65,29.40,4.0
330,84.0,52,1324.0,27.0,30.0,11.7,29.80,4.0
331,84.0,49,1341.0,27.0,30.0,11.61,29.80,4.0
332,84.0,50,1361.0,28.0,30.0,11.89,29.80,4.0
333,84.0,19,1403.0,23.0,31.0,7.54,24.70,4.0
334,84.0,35,1064.0,18.0,31.0,3.48,18.40,4.0
335,84.0,53,890.0,18.0,31.0,5.92,24.30,4.0
336,84.0,40,928.0,20.0,31.0,8.26,26.70,4.0
337,84.0,38,940.0,16.0,32.0,2.53,17.30,4.0
338,85.0,36,824.0,15.0,32.0,2.94,17.60,4.0
339,85.0,36,795.0,10.0,33.0,4.72,22.00,4.0
340,85.0,37,777.0,,33.0,4.28,20.40,4.0
341,85.0,32,808.0,0.0,33.0,4.64,21.20,4.0
342,85.0,32,807.0,0.0,33.0,4.28,20.40,4.0
343,85.0,34,822.0,0.0,33.0,4.12,20.40,4.0
344,85.0,50,797.0,2.0,33.0,4.35,20.40,4.0
345,85.0,33,726.0,5.0,33.0,4.36,20.80,4.0
346,86.0,33,811.0,,33.0,4.27,20.40,4.0
347,86.0,32,776.0,7.0,33.0,4.13,20.40,4.0
348,86.0,34,782.0,8.0,33.0,4.49,20.40,4.0
349,86.0,32,783.0,7.0,33.0,4.34,20.40,4.0
350,87.0,36,772.0,4.0,33.0,4.26,20.40,4.0
351,87.0,36,793.0,0.0,33.0,4.54,20.80,4.0
352,88.0,35,789.0,0.0,33.0,4.48,20.80,4.0
353,88.0,37,802.0,0.0,33.0,4.18,20.40,4.0
354,88.0,33,794.0,0.0,33.0,4.38,20.80,4.0
355,89.0,33,784.0,0.0,33.0,4.42,20.80,4.0
356,89.0,34,808.0,0.0,33.0,4.27,20.40,4.0
357,90.0,32,806.0,0.0,33.0,4.18,20.40,4.0
358,90.0,33,808.0,0.0,33.0,4.15,20.40,4.0
359,91.0,32,800.0,0.0,33.0,4.31,20.40,4.0
360,91.0,34,799.0,0.0,33.0,4.2,20.40,4.0
361,91.0,34,799.0,0.0,33.0,4.09,20.40,4.0
362,92.0,35,802.0,0.0,33.0,4.12,20.80,4.0
363,92.0,33,781.0,0.0,33.0,4.27,20.40,4.0
364,92.0,34,794.0,,33.0,4.1,20.80,4.0
365,93.0,34,786.0,0.0,34.0,4.37,20.80,4.0
366,93.0,34,799.0,0.0,34.0,4.4,20.80,4.0
367,94.0,34,805.0,0.0,34.0,4.14,20.40,4.0
368,94.0,33,802.0,0.0,34.0,4.14,20.40,4.0
369,94.0,34,805.0,0.0,34.0,4.53,20.80,4.0
370,94.0,48,906.0,13.0,32.0,10.41,29.40,4.0
371,95.0,19,1137.0,16.0,32.0,2.72,17.30,4.0
372,95.0,20,1271.0,13.0,33.0,3.4,20.00,4.0
373,95.0,36,806.0,4.0,33.0,4.44,20.80,4.0
374,96.0,37,813.0,1.0,33.0,4.73,21.20,4.0
375,96.0,32,810.0,0.0,34.0,4.75,21.20,4.0
376,96.0,36,797.0,0.0,34.0,4.61,21.20,4.0
377,97.0,32,792.0,0.0,34.0,4.67,21.60,4.0
378,97.0,32,806.0,0.0,34.0,4.38,20.40,4.0
379,99.0,33,783.0,9.0,34.0,4.64,21.60,4.0
380,99.0,35,796.0,9.0,34.0,4.44,20.80,4.0
381,99.0,34,802.0,8.0,34.0,4.51,20.80,4.0
382,100.0,35,793.0,,34.0,4.84,21.20,4.0
383,100.0,36,797.0,1.0,34.0,4.36,20.80,4.0
384,100.0,33,781.0,0.0,34.0,4.63,21.20,4.0
385,99.0,35,803.0,0.0,34.0,4.32,20.80,4.0
386,99.0,36,797.0,0.0,,4.54,20.80,4.0
387,98.0,35,793.0,0.0,34.0,4.49,21.20,4.0
388,97.0,35,796.0,0.0,34.0,4.53,21.20,4.0
389,96.0,36,802.0,0.0,34.0,4.52,20.80,4.0
390,95.0,35,802.0,0.0,34.0,4.67,21.20,4.0
